id,name,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
2kDCcsW1rSwBHvkOuFWp6I,Ola Olaala Ala,0.916,0.0544,0.457,6.05E-05,0.136,0.732,-7.377,0.0532,114.981,7,4
2mUvMLSJmlo5iI8PMLRRJz,Chilipiga,0.657,0.409,0.458,1.67E-06,0.157,0.339,-10.035,0.0272,93.484,0,4
4swLsRDd6VI5BB1dej03L3,Nenu Nuvvantu,0.743,0.154,0.616,1.92E-05,0.125,0.758,-8.798,0.0354,91.981,5,4
3WqQkDTab7sYjRX9Uf7mqr,Hello Rammante,0.857,0.0991,0.688,5.30E-05,0.101,0.789,-6.709,0.0531,113.992,7,4
2aFJm1hy8E73UVu9a0tP40,O Range,0.97,0.0705,0.817,0,0.139,0.306,-8.333,0.113,117.022,2,4
1rJmySqUrHQP0O4l1JX8E9,Rooba Rooba,0.843,0.121,0.611,0.00654,0.334,0.698,-8.864,0.0497,103.985,10,4
1gIMBpzUifB2cAsmyvI7Id,Ye Vaipuga,0.738,0.589,0.79,2.13E-06,0.517,0.432,-8.566,0.159,129.959,6,4
6xWPeINK1wMfuVDpDmykUx,Lachhamma,0.944,0.423,0.679,0.00107,0.172,0.787,-8.095,0.149,101.012,11,4
2Ej4vdkwwBDyE6QfFWaXUF,Oh Priya Priya,0.748,0.241,0.55,0,0.144,0.588,-6.89,0.0361,96.982,0,4
2Jf10norKFV2Fvv0AnizCy,Sutiga Choodaku,0.726,0.345,0.639,0.000127,0.131,0.431,-9.549,0.0299,129.945,5,4
5L6yb0KfkE1pjRbzcyMBo7,Chinnadhana,0.751,0.147,0.76,0,0.125,0.564,-5.644,0.0499,95.047,1,4
7wrbiXOfjctL8SIby22B6X,Edho Edho,0.772,0.581,0.888,0.000421,0.267,0.723,-7.845,0.0981,134.989,7,4
2cDqnod2nyK6peyKyuZ1Iv,Lachhamma Club Mix,0.894,0.0968,0.769,6.01E-06,0.0772,0.72,-9.64,0.0663,120.002,4,4
64oM9dBfB4TKqMtwSdoduu,Proud'se Single,0.7,0.393,0.809,0,0.168,0.794,-5.706,0.474,131.688,10,4
00LSCsH99cW8zsr82ibMHM,Nuvvu Navvukuntu,0.734,0.716,0.753,0,0.45,0.586,-5.401,0.138,93.985,10,4
