id,name,danceability,acousticness,liveness,loudness,speechiness,label,language
2kDCcsW1rSwBHvkOuFWp6I,Ola Olaala Ala,0.916,0.0544,0.136,0.73555396,0.0532,Cheerful,Telugu
2mUvMLSJmlo5iI8PMLRRJz,Chilipiga,0.657,0.409,0.157,0.65257703,0.0272,Chill,Telugu
4swLsRDd6VI5BB1dej03L3,Nenu Nuvvantu,0.743,0.154,0.125,0.691193457,0.0354,Cheerful,Telugu
3WqQkDTab7sYjRX9Uf7mqr,Hello Rammante,0.857,0.0991,0.101,0.756407455,0.0531,Cheerful,Telugu
2aFJm1hy8E73UVu9a0tP40,O Range,0.97,0.0705,0.139,0.705709737,0.113,Cheerful,Telugu
1rJmySqUrHQP0O4l1JX8E9,Rooba Rooba,0.843,0.121,0.334,0.689133082,0.0497,Cheerful,Telugu
1gIMBpzUifB2cAsmyvI7Id,Ye Vaipuga,0.738,0.589,0.517,0.698435988,0.159,Energetic,Telugu
6xWPeINK1wMfuVDpDmykUx,Lachhamma,0.944,0.423,0.172,0.713139575,0.149,Chill,Telugu
2Ej4vdkwwBDyE6QfFWaXUF,Oh Priya Priya,0.748,0.241,0.144,0.750757032,0.0361,Cheerful,Telugu
2Jf10norKFV2Fvv0AnizCy,Sutiga Choodaku,0.726,0.345,0.131,0.667748884,0.0299,Chill,Telugu
5L6yb0KfkE1pjRbzcyMBo7,Chinnadhana,0.751,0.147,0.125,0.789654419,0.0499,Cheerful,Telugu
7wrbiXOfjctL8SIby22B6X,Edho Edho,0.772,0.581,0.267,0.720944026,0.0981,Chill,Telugu
2cDqnod2nyK6peyKyuZ1Iv,Lachhamma Club Mix,0.894,0.0968,0.0772,0.664908064,0.0663,Cheerful,Telugu
64oM9dBfB4TKqMtwSdoduu,Proud'se Single,0.7,0.393,0.168,0.787718915,0.474,Chill,Telugu
00LSCsH99cW8zsr82ibMHM,Nuvvu Navvukuntu,0.734,0.716,0.45,0.797240346,0.138,Romantic,Telugu
7IzJ46OgPtyiQWT65T0rxJ,Malli Malli Raani Roju,0.852,0.3,0.0334,0.803078076,0.0427,Cheerful,Telugu
4ZguAeEoNjipSbQFzfDsYI,College Papa,0.669,0.231,0.119,0.815471545,0.277,Cheerful,Telugu
2SIQgKcQP0ztLtV6APZ9y8,Sehari Sehari,0.735,0.0505,0.0707,0.745980707,0.0386,Cheerful,Telugu
47gOR35JFauM1d9PbUGfzi,Saradaga..Chandamaamane,0.836,0.261,0.114,0.759029751,0.0605,Cheerful,Telugu
7o20g3bZRdwy6MtiUP9pOx,Oy..Oy..,0.801,0.0816,0.0921,0.773733337,0.061,Cheerful,Telugu
4HkipUaRTXwhDqstRFz9oB,Povodhe Prema,0.683,0.51,0.088,0.747010895,0.0288,Chill,Telugu
7c86TRSY74EP7LEDGnWdIk,Anukoledenadu,0.771,0.162,0.136,0.726563232,0.0464,Cheerful,Telugu
42XgH6kQAvTOiKODWMuD9p,Waiting For You,0.78,0.547,0.146,0.724565292,0.0331,Chill,Telugu
3dGnykeZl6O95Tjoe2h9pt,Panjaa,0.78,0.0265,0.417,0.910342459,0.0391,Energetic,Telugu
5RJb4ZBgdJBOZe5Fx2aDWo,Ela Ela Naalo,0.671,0.127,0.315,0.842381294,0.0331,Cheerful,Telugu
5z2QHBeHThZ4l8EtRQzQoJ,Veyira Cheyyi Veyira,0.593,0.373,0.316,0.836387475,0.0836,Energetic,Telugu
6eFBabiUzghnOLyT661s58,Kshanam Kshanam,0.369,0.923,0.252,0.676052821,0.0313,Romantic,Telugu
2JEwmDAtGNqSXtvgPEIMTr,Anukoneledhuga,0.727,0.103,0.178,0.785190273,0.032,Cheerful,Telugu
3SV6DPnu0v1Oj5TGYkIR63,Paparayudu,0.625,0.672,0.204,0.860581276,0.444,Chill,Telugu
0I9RbCJItXY1jxGIAsQT0t,Jalsa Jalsa,0.922,0.339,0.099,0.700090532,0.144,Cheerful,Telugu
3ppaMjhBDxRi2kTpawOSJn,My Heart is Beating,0.842,0.209,0.104,0.705865826,0.0949,Cheerful,Telugu
2B4aHNymPu3qYSjFnoxZGH,You & I,0.896,0.169,0.0316,0.69996566,0.0721,Cheerful,Telugu
3U2CHs5bINydvVwt0y9PuG,Chalore Chalore (Hindi),0.776,0.425,0.0543,0.68972622,0.0813,Chill,Telugu
7DogGBT86sbjsNWQSIGLtB,Jennifer Lopez,0.792,0.0784,0.0435,0.718977305,0.18,Cheerful,Telugu
5n1FBtJgcDePfo8q6hBQPu,Gaallo Thelinattunde,0.859,0.0493,0.0672,0.7019636,0.0779,Cheerful,Telugu
71fCqjqfJz23Bjodiqt4GY,Chalore Chalore (Telugu),0.811,0.203,0.0487,0.684762589,0.078,Cheerful,Telugu
5fP5wg1Chzg5cPbHIdGscu,Jalsa Jalsa (Remix),0.825,0.053,0.343,0.729497705,0.0704,Cheerful,Telugu
0HTTwOa3XTNreVIcoWp7u5,My Heart is Beating (Remix),0.709,0.253,0.149,0.711047982,0.0326,Cheerful,Telugu
2724M1EwPYBB8s0J3t0D8R,Yamaho Yama,0.798,0.166,0.293,0.698904255,0.0605,Cheerful,Telugu
1us8uUo44iGtZKKZJi8Buy,Love U Raa,0.835,0.0257,0.129,0.786376549,0.148,Cheerful,Telugu
693359DlfpvoEfIYleKs05,Endhuko Pichi Pichi,0.863,0.103,0.197,0.773327506,0.191,Cheerful,Telugu
4nQTjFHjgznhXpW2j3bu9Y,Chamka Chamka,0.826,0.0303,0.327,0.767708301,0.0613,Cheerful,Telugu
6B5xvGvHyVjN8HBdAsoWH0,Maro Maro,0.794,0.0654,0.0769,0.758561483,0.0533,Cheerful,Telugu
05YrHIT3ktUKWM0SMwUrkI,Kannethi- Bit,0.36,0.217,0.109,0.546342834,0.0301,Cheerful,Telugu
0gkvyVZT7lsHCJgwwkGSRn,Ivala,0.702,0.00439,0.118,0.837261574,0.0386,Cheerful,Telugu
7q9jCITcW1whCmv6y3JtFg,Innallu - Bit,0.384,0.514,0.109,0.60347142,0.0317,Romantic,Telugu
7MtXu7mXRMdICKyTOb8CuR,Baitikochi Chuste,0.588,0.583,0.136,0.772390972,0.0694,Chill,Telugu
5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,0.677,0.643,0.168,0.772547061,0.0378,Chill,Telugu
3ikoCCFiqH0lRwXE58jidG,Dhaga Dhagamaney,0.573,0.0178,0.354,0.787687697,0.0448,Energetic,Telugu
6FIaAGKucC6rgxpTGNLSBx,Swagatham Krishna,0.367,0.584,0.0891,0.763681204,0.0417,Romantic,Telugu
1V4hx2szIylOh4rYoPrwlp,AB Yevaro Nee Baby,0.729,0.0561,0.129,0.787625261,0.0545,Cheerful,Telugu
1OwwrQXxEc4INMhteCUHZm,Kodakaa Koteswar Rao,0.757,0.505,0.196,0.81041426,0.287,Chill,Telugu
2DDOQBKGmkv7bPoYF1bELz,Ninnila,0.699,0.505,0.152,0.767208816,0.0298,Chill,Telugu
57MKnLN5IqjuACXBm01saz,Break The Rules,0.766,0.53,0.0565,0.842350076,0.0916,Chill,Telugu
7livrhr8zKME2wfKpSWbp0,Sunona Sunaina,0.777,0.0664,0.209,0.845315768,0.0565,Cheerful,Telugu
6vI8sSx4J3oa9It51ZzVZC,Allasani Vaari,0.597,0.654,0.0924,0.758686355,0.0947,Chill,Telugu
5oM6SPppdOKxg3XCk9v71k,Vinnane Vinnane,0.786,0.19,0.0978,0.84784441,0.0267,Cheerful,Telugu
2c2dNWJodzG6aQMW0imtag,Toliprema,0.467,0.827,0.108,0.787718915,0.0384,Romantic,Telugu
4kVsV4GhcNpHSDs6siioM0,Ammayi,0.412,0.66,0.224,0.809696251,0.0323,Romantic,Telugu
3e7CUrRaEgSmbk5XxlAgWc,Ney Veyrey,0.24,0.846,0.101,0.747198202,0.0323,Romantic,Telugu
4GWaSKW0JpQsqsGjiRbiEz,Nanna Nuv Naa Pranam,0.322,0.915,0.114,0.605001093,0.036,Romantic,Telugu
0ljjmkJocnhXzP62JYNW8p,Evarevaro,0.474,0.762,0.102,0.679393126,0.0396,Romantic,Telugu
1brtmiixpIAspQgZEQKkLH,Kashmeeru,0.569,0.986,0.137,0.655730028,0.155,Romantic,Telugu
5BUtT8DGziwD6l9tA7FjJu,Yaalo Yaalaa,0.272,0.843,0.159,0.639122155,0.0393,Romantic,Telugu
5e8q9tRKfzMDJuGR7DtJB2,SENIGA CHENLA NILABADI CHETHULIYAVE,0.571,0.166,0.167,0.869291044,0.182,Cheerful,Telugu
3K9O6TqcIMX8plGkzBARiK,We Have Romeo,0.908,0.235,0.0361,0.675241158,0.166,Cheerful,Telugu
3WkFzi4WS4PeJhHMn2Zbnl,Bommanu Geesthey,0.78,0.0742,0.136,0.709299785,0.0301,Cheerful,Telugu
21d3KE855pG8CFvKRWjlsL,Kaani Ippudu,0.932,0.261,0.067,0.63194206,0.0544,Cheerful,Telugu
