id,name,danceability,acousticness,liveness,loudness,speechiness,label
2kDCcsW1rSwBHvkOuFWp6I,Ola Olaala Ala,0.916,0.0544,0.136,0.73555396,0.0532,Cheerful
2mUvMLSJmlo5iI8PMLRRJz,Chilipiga,0.657,0.409,0.157,0.65257703,0.0272,Chill
4swLsRDd6VI5BB1dej03L3,Nenu Nuvvantu,0.743,0.154,0.125,0.691193457,0.0354,Cheerful
3WqQkDTab7sYjRX9Uf7mqr,Hello Rammante,0.857,0.0991,0.101,0.756407455,0.0531,Cheerful
2aFJm1hy8E73UVu9a0tP40,O Range,0.97,0.0705,0.139,0.705709737,0.113,Cheerful
1rJmySqUrHQP0O4l1JX8E9,Rooba Rooba,0.843,0.121,0.334,0.689133082,0.0497,Cheerful
1gIMBpzUifB2cAsmyvI7Id,Ye Vaipuga,0.738,0.589,0.517,0.698435988,0.159,Energetic
6xWPeINK1wMfuVDpDmykUx,Lachhamma,0.944,0.423,0.172,0.713139575,0.149,Chill
2Ej4vdkwwBDyE6QfFWaXUF,Oh Priya Priya,0.748,0.241,0.144,0.750757032,0.0361,Cheerful
2Jf10norKFV2Fvv0AnizCy,Sutiga Choodaku,0.726,0.345,0.131,0.667748884,0.0299,Chill
5L6yb0KfkE1pjRbzcyMBo7,Chinnadhana,0.751,0.147,0.125,0.789654419,0.0499,Cheerful
7wrbiXOfjctL8SIby22B6X,Edho Edho,0.772,0.581,0.267,0.720944026,0.0981,Chill
2cDqnod2nyK6peyKyuZ1Iv,Lachhamma Club Mix,0.894,0.0968,0.0772,0.664908064,0.0663,Cheerful
64oM9dBfB4TKqMtwSdoduu,Proud'se Single,0.7,0.393,0.168,0.787718915,0.474,Chill
00LSCsH99cW8zsr82ibMHM,Nuvvu Navvukuntu,0.734,0.716,0.45,0.797240346,0.138,Romantic
7IzJ46OgPtyiQWT65T0rxJ,Malli Malli Raani Roju,0.852,0.3,0.0334,0.803078076,0.0427,Cheerful
4ZguAeEoNjipSbQFzfDsYI,College Papa,0.669,0.231,0.119,0.815471545,0.277,Cheerful
2SIQgKcQP0ztLtV6APZ9y8,Sehari Sehari,0.735,0.0505,0.0707,0.745980707,0.0386,Cheerful
47gOR35JFauM1d9PbUGfzi,Saradaga..Chandamaamane,0.836,0.261,0.114,0.759029751,0.0605,Cheerful
7o20g3bZRdwy6MtiUP9pOx,Oy..Oy..,0.801,0.0816,0.0921,0.773733337,0.061,Cheerful
4HkipUaRTXwhDqstRFz9oB,Povodhe Prema,0.683,0.51,0.088,0.747010895,0.0288,Chill
7c86TRSY74EP7LEDGnWdIk,Anukoledenadu,0.771,0.162,0.136,0.726563232,0.0464,Cheerful
42XgH6kQAvTOiKODWMuD9p,Waiting For You,0.78,0.547,0.146,0.724565292,0.0331,Chill
3dGnykeZl6O95Tjoe2h9pt,Panjaa,0.78,0.0265,0.417,0.910342459,0.0391,Energetic
5RJb4ZBgdJBOZe5Fx2aDWo,Ela Ela Naalo,0.671,0.127,0.315,0.842381294,0.0331,Cheerful
5z2QHBeHThZ4l8EtRQzQoJ,Veyira Cheyyi Veyira,0.593,0.373,0.316,0.836387475,0.0836,Energetic
6eFBabiUzghnOLyT661s58,Kshanam Kshanam,0.369,0.923,0.252,0.676052821,0.0313,Romantic
2JEwmDAtGNqSXtvgPEIMTr,Anukoneledhuga,0.727,0.103,0.178,0.785190273,0.032,Cheerful
3SV6DPnu0v1Oj5TGYkIR63,Paparayudu,0.625,0.672,0.204,0.860581276,0.444,Chill
0I9RbCJItXY1jxGIAsQT0t,Jalsa Jalsa,0.922,0.339,0.099,0.700090532,0.144,Cheerful
3ppaMjhBDxRi2kTpawOSJn,My Heart is Beating,0.842,0.209,0.104,0.705865826,0.0949,Cheerful
2B4aHNymPu3qYSjFnoxZGH,You & I,0.896,0.169,0.0316,0.69996566,0.0721,Cheerful
3U2CHs5bINydvVwt0y9PuG,Chalore Chalore (Hindi),0.776,0.425,0.0543,0.68972622,0.0813,Chill
7DogGBT86sbjsNWQSIGLtB,Jennifer Lopez,0.792,0.0784,0.0435,0.718977305,0.18,Cheerful
5n1FBtJgcDePfo8q6hBQPu,Gaallo Thelinattunde,0.859,0.0493,0.0672,0.7019636,0.0779,Cheerful
71fCqjqfJz23Bjodiqt4GY,Chalore Chalore (Telugu),0.811,0.203,0.0487,0.684762589,0.078,Cheerful
5fP5wg1Chzg5cPbHIdGscu,Jalsa Jalsa (Remix),0.825,0.053,0.343,0.729497705,0.0704,Cheerful
0HTTwOa3XTNreVIcoWp7u5,My Heart is Beating (Remix),0.709,0.253,0.149,0.711047982,0.0326,Cheerful
2724M1EwPYBB8s0J3t0D8R,Yamaho Yama,0.798,0.166,0.293,0.698904255,0.0605,Cheerful
1us8uUo44iGtZKKZJi8Buy,Love U Raa,0.835,0.0257,0.129,0.786376549,0.148,Cheerful
693359DlfpvoEfIYleKs05,Endhuko Pichi Pichi,0.863,0.103,0.197,0.773327506,0.191,Cheerful
4nQTjFHjgznhXpW2j3bu9Y,Chamka Chamka,0.826,0.0303,0.327,0.767708301,0.0613,Cheerful
6B5xvGvHyVjN8HBdAsoWH0,Maro Maro,0.794,0.0654,0.0769,0.758561483,0.0533,Cheerful
05YrHIT3ktUKWM0SMwUrkI,Kannethi- Bit,0.36,0.217,0.109,0.546342834,0.0301,Cheerful
0gkvyVZT7lsHCJgwwkGSRn,Ivala,0.702,0.00439,0.118,0.837261574,0.0386,Cheerful
7q9jCITcW1whCmv6y3JtFg,Innallu - Bit,0.384,0.514,0.109,0.60347142,0.0317,Romantic
7MtXu7mXRMdICKyTOb8CuR,Baitikochi Chuste,0.588,0.583,0.136,0.772390972,0.0694,Chill
5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,0.677,0.643,0.168,0.772547061,0.0378,Chill
3ikoCCFiqH0lRwXE58jidG,Dhaga Dhagamaney,0.573,0.0178,0.354,0.787687697,0.0448,Energetic
6FIaAGKucC6rgxpTGNLSBx,Swagatham Krishna,0.367,0.584,0.0891,0.763681204,0.0417,Romantic
1V4hx2szIylOh4rYoPrwlp,AB Yevaro Nee Baby,0.729,0.0561,0.129,0.787625261,0.0545,Cheerful
1OwwrQXxEc4INMhteCUHZm,Kodakaa Koteswar Rao,0.757,0.505,0.196,0.81041426,0.287,Chill
2DDOQBKGmkv7bPoYF1bELz,Ninnila,0.699,0.505,0.152,0.767208816,0.0298,Chill
57MKnLN5IqjuACXBm01saz,Break The Rules,0.766,0.53,0.0565,0.842350076,0.0916,Chill
7livrhr8zKME2wfKpSWbp0,Sunona Sunaina,0.777,0.0664,0.209,0.845315768,0.0565,Cheerful
6vI8sSx4J3oa9It51ZzVZC,Allasani Vaari,0.597,0.654,0.0924,0.758686355,0.0947,Chill
5oM6SPppdOKxg3XCk9v71k,Vinnane Vinnane,0.786,0.19,0.0978,0.84784441,0.0267,Cheerful
2c2dNWJodzG6aQMW0imtag,Toliprema,0.467,0.827,0.108,0.787718915,0.0384,Romantic
4kVsV4GhcNpHSDs6siioM0,Ammayi,0.412,0.66,0.224,0.809696251,0.0323,Romantic
3e7CUrRaEgSmbk5XxlAgWc,Ney Veyrey,0.24,0.846,0.101,0.747198202,0.0323,Romantic
4GWaSKW0JpQsqsGjiRbiEz,Nanna Nuv Naa Pranam,0.322,0.915,0.114,0.605001093,0.036,Romantic
0ljjmkJocnhXzP62JYNW8p,Evarevaro,0.474,0.762,0.102,0.679393126,0.0396,Romantic
1brtmiixpIAspQgZEQKkLH,Kashmeeru,0.569,0.986,0.137,0.655730028,0.155,Romantic
5BUtT8DGziwD6l9tA7FjJu,Yaalo Yaalaa,0.272,0.843,0.159,0.639122155,0.0393,Romantic
5e8q9tRKfzMDJuGR7DtJB2,SENIGA CHENLA NILABADI CHETHULIYAVE,0.571,0.166,0.167,0.869291044,0.182,Cheerful
3K9O6TqcIMX8plGkzBARiK,We Have Romeo,0.908,0.235,0.0361,0.675241158,0.166,Cheerful
3WkFzi4WS4PeJhHMn2Zbnl,Bommanu Geesthey,0.78,0.0742,0.136,0.709299785,0.0301,Cheerful
21d3KE855pG8CFvKRWjlsL,Kaani Ippudu,0.932,0.261,0.067,0.63194206,0.0544,Cheerful
5ykRe2NirQZdJJKArcXOEW,Music Bit,0.678,0.292,0.173,0.609371586,0.0703,Cheerful
7jcYdzweHJjcV8Lvk6xuIu,Laalu Dharvaja,0.866,0.144,0.0528,0.676958137,0.194,Cheerful
07D0H4cb2rlE0BDhvRtnhP,Nammaka Tappani,0.725,0.13,0.104,0.703056223,0.0457,Cheerful
4KDq9bn0wdEbIFQDi1CGgj,Apudo Ipudo,0.88,0.0519,0.0667,0.66837324,0.104,Cheerful
0S9j9OAG3KjmBg4j9XzFcC,Radhika,0.758,0.183,0.183,0.827334311,0.119,Cheerful
0hY9eA74QrMCJuWEx7fo9y,"Kurchi Madathapetti (From ""Guntur Kaaram"")(Telugu)",0.748,0.625,0.0685,0.786751163,0.129,Chill
7KkaBto4aewGt8wl6q6wxH,Vachinde,0.825,0.352,0.0872,0.82536759,0.12,Chill
03O2vlADdl7X3iAi1nLkqL,Edo Jarugutondi,0.634,0.16,0.145,0.820778572,0.0691,Cheerful
3A3vrhAzRGaK92PtFzndjS,Hey Pillagaada,0.643,0.406,0.0973,0.794742921,0.0855,Chill
0xNiDPK4YdZ51ALxSid0QV,Oosupodu,0.388,0.28,0.267,0.804201917,0.0633,Energetic
6AnTokjUb1JdSwYAgYB2DC,Hey Mister,0.884,0.105,0.443,0.775575188,0.0402,Energetic
6ummx2ANmvlzDNCvQ84xBg,Fidaa,0.693,0.104,0.403,0.841226235,0.0312,Energetic
4aA2E3GC9NIx5yprmbAjM1,You Rock My World,0.821,0.052,0.367,0.708300815,0.0895,Cheerful
7A3HdpivKNGgTW2Bo3udV8,Nuvvunte,0.804,0.022,0.0759,0.657072394,0.0914,Cheerful
4s6M8nlOdDmFjKsyGepA1B,O My Brotheru,0.778,0.0514,0.194,0.683201698,0.17,Cheerful
2eGp9IyD2SedGK5e3oFB3Q,Thakadimithom,0.952,0.0265,0.0452,0.644054569,0.244,Cheerful
4EjO3ELtQkbOBox5adad6a,Feel My Love,0.746,0.0144,0.167,0.725689133,0.0422,Cheerful
0osnJEcmFX4tzO9MS8feMn,Aa Ante,0.781,0.0343,0.0826,0.722005432,0.241,Cheerful
18TORL6yEYyzbOjCrS8Ipc,Yedhane Koiyakae,0.726,0.449,0.0737,0.753847595,0.05,Chill
2bageubuN1HjNZwTNlyh0v,Naaloney Pongaynu,0.714,0.328,0.104,0.740267849,0.0361,Chill
5UIPA4TffGlnyDsaqVEc1v,Yegasi Yegasi,0.922,0.0939,0.202,0.784971748,0.0946,Cheerful
4rc1WGmRJ2CsHXTmrBu3gH,Monna Kanipinchavu,0.711,0.304,0.0693,0.735366653,0.223,Cheerful
2Lu03NYllO5uk4R9gvNZFJ,Oh! Shanthi Shanthi,0.656,0.356,0.137,0.758904879,0.0443,Chill
5Vhm92XrsXw5SfFYnxxspt,Athey Nanne,0.772,0.467,0.0816,0.67349296,0.0833,Chill
4dSs0v5rU0KCoZkSiuWZvl,Nidhare Kala,0.752,0.803,0.237,0.71392002,0.0307,Romantic
1ifMH14KizpUxIdRVyPsSZ,Niluvaddham,0.827,0.16,0.0922,0.72259857,0.123,Cheerful
4EztIh7yvgYs9YLCvxT8ku,Something Something,0.688,0.187,0.337,0.743826679,0.314,Energetic
69PuGOoNWxd2hM0tsrCa2O,Ghal Ghal,0.847,0.142,0.372,0.728842132,0.119,Energetic
4b4xkbpRpA8jHbP8GVLYWR,Chandrullo Unde,0.814,0.0771,0.0836,0.701807511,0.0698,Cheerful
3Gmq2pQZNo5TqrobE10WgA,Pari Poke Pitta,0.955,0.113,0.247,0.748446914,0.151,Cheerful
6OJemp4sHmpogO2ieTATsq,Padam Kadala,0.79,0.687,0.103,0.687915587,0.0623,Chill
4FexaCwCrxQ9OErHZiLlWh,Adirey Adirey,0.881,0.171,0.231,0.765335748,0.171,Cheerful
4oDLTpHhYT61aV0RscA9rs,Silakemo,0.684,0.24,0.133,0.786438985,0.405,Cheerful
29aG6LSPJtU5yPDFYEvVfi,Andala Chukkala,0.893,0.519,0.123,0.693347485,0.0638,Chill
6adrkXOmPex66DvtZmsv3R,Maar Maar,0.799,0.15,0.0659,0.760340898,0.184,Cheerful
5umi7RqYbqfzuHSwz8oaQj,O Manasa,0.834,0.165,0.039,0.729466488,0.0616,Cheerful
5Xsq4Waw2KeRPpfrAoXmMT,Anaganaga Kadala,0.718,0.227,0.201,0.692317298,0.0835,Cheerful
3TeGBS4boert6YCIkhUaDI,Gongoora Thota,0.747,0.148,0.0676,0.726594449,0.226,Cheerful
7vzsGnsgEAvpR7G0oYDPfV,Dekho Dekho Gabbar Singh,0.903,0.0828,0.219,0.88415072,0.119,Cheerful
14I31bbtEZVADFi1uCcxcu,Akasam Ammayaithe,0.796,0.4,0.212,0.869790529,0.0524,Chill
5slxvWwJhpvXf5yn06eI86,Mandu Baabulam,0.753,0.47,0.154,0.858489683,0.35,Chill
2x2W7PnBelMmLZBV6YqRFQ,Pillaa,0.744,0.549,0.0418,0.904879343,0.101,Chill
70aYyuwZG2KxnJ5Yw5irTy,Dil Se,0.817,0.242,0.0512,0.910560984,0.0485,Cheerful
5fl5pJKjWwJgRkbZfZzyGw,Kevvu Keka,0.672,0.159,0.415,0.920425811,0.168,Energetic
5gqhfk5hXAFMZZzwiENcVq,Le Le Lele,0.908,0.0142,0.0549,0.731089814,0.0643,Cheerful
