id,name,danceability,acousticness,liveness,loudness,speechiness,tempo,key,time_signature,label,language
2kDCcsW1rSwBHvkOuFWp6I,Ola Olaala Ala,0.916,0.0544,0.136,0.73555396,0.0532,114.981,7.0,4.0,Surprised,telugu
2mUvMLSJmlo5iI8PMLRRJz,Chilipiga,0.657,0.409,0.157,0.65257703,0.0272,93.484,0.0,4.0,Happy,telugu
4swLsRDd6VI5BB1dej03L3,Nenu Nuvvantu,0.743,0.154,0.125,0.691193457,0.0354,91.981,5.0,4.0,Happy,telugu
3WqQkDTab7sYjRX9Uf7mqr,Hello Rammante,0.857,0.0991,0.101,0.756407455,0.0531,113.992,7.0,4.0,Surprised,telugu
2aFJm1hy8E73UVu9a0tP40,O Range,0.97,0.0705,0.139,0.705709737,0.113,117.022,2.0,4.0,Surprised,telugu
1rJmySqUrHQP0O4l1JX8E9,Rooba Rooba,0.843,0.121,0.334,0.689133082,0.0497,103.985,10.0,4.0,Happy,telugu
1gIMBpzUifB2cAsmyvI7Id,Ye Vaipuga,0.738,0.589,0.517,0.698435988,0.159,129.959,6.0,4.0,Surprised,telugu
6xWPeINK1wMfuVDpDmykUx,Lachhamma,0.944,0.423,0.172,0.713139575,0.149,101.012,11.0,4.0,Happy,telugu
2Ej4vdkwwBDyE6QfFWaXUF,Oh Priya Priya,0.748,0.241,0.144,0.750757032,0.0361,96.982,0.0,4.0,Happy,telugu
2Jf10norKFV2Fvv0AnizCy,Sutiga Choodaku,0.726,0.345,0.131,0.667748884,0.0299,129.945,5.0,4.0,Surprised,telugu
5L6yb0KfkE1pjRbzcyMBo7,Chinnadhana,0.751,0.147,0.125,0.789654419,0.0499,95.047,1.0,4.0,Happy,telugu
7wrbiXOfjctL8SIby22B6X,Edho Edho,0.772,0.581,0.267,0.720944026,0.0981,134.989,7.0,4.0,Sad,telugu
2cDqnod2nyK6peyKyuZ1Iv,Lachhamma Club Mix,0.894,0.0968,0.0772,0.664908064,0.0663,120.002,4.0,4.0,Surprised,telugu
64oM9dBfB4TKqMtwSdoduu,Proud'se Single,0.7,0.393,0.168,0.787718915,0.474,131.688,10.0,4.0,Surprised,telugu
00LSCsH99cW8zsr82ibMHM,Nuvvu Navvukuntu,0.734,0.716,0.45,0.797240346,0.138,93.985,10.0,4.0,Happy,telugu
7IzJ46OgPtyiQWT65T0rxJ,Malli Malli Raani Roju,0.852,0.3,0.0334,0.803078076,0.0427,109.96,10.0,4.0,Happy,telugu
4ZguAeEoNjipSbQFzfDsYI,College Papa,0.669,0.231,0.119,0.815471545,0.277,112.515,2.0,3.0,Surprised,telugu
2SIQgKcQP0ztLtV6APZ9y8,Sehari Sehari,0.735,0.0505,0.0707,0.745980707,0.0386,139.986,0.0,4.0,Sad,telugu
47gOR35JFauM1d9PbUGfzi,Saradaga..Chandamaamane,0.836,0.261,0.114,0.759029751,0.0605,100.01,5.0,4.0,Happy,telugu
7o20g3bZRdwy6MtiUP9pOx,Oy..Oy..,0.801,0.0816,0.0921,0.773733337,0.061,135.007,7.0,4.0,Sad,telugu
4HkipUaRTXwhDqstRFz9oB,Povodhe Prema,0.683,0.51,0.088,0.747010895,0.0288,140.018,1.0,4.0,Sad,telugu
7c86TRSY74EP7LEDGnWdIk,Anukoledenadu,0.771,0.162,0.136,0.726563232,0.0464,109.973,7.0,4.0,Happy,telugu
42XgH6kQAvTOiKODWMuD9p,Waiting For You,0.78,0.547,0.146,0.724565292,0.0331,120.023,3.0,4.0,Surprised,telugu
3dGnykeZl6O95Tjoe2h9pt,Panjaa,0.78,0.0265,0.417,0.910342459,0.0391,100.021,2.0,4.0,Happy,telugu
5RJb4ZBgdJBOZe5Fx2aDWo,Ela Ela Naalo,0.671,0.127,0.315,0.842381294,0.0331,134.978,0.0,4.0,Sad,telugu
5z2QHBeHThZ4l8EtRQzQoJ,Veyira Cheyyi Veyira,0.593,0.373,0.316,0.836387475,0.0836,109.967,11.0,4.0,Happy,telugu
6eFBabiUzghnOLyT661s58,Kshanam Kshanam,0.369,0.923,0.252,0.676052821,0.0313,67.002,0.0,4.0,Angry,telugu
2JEwmDAtGNqSXtvgPEIMTr,Anukoneledhuga,0.727,0.103,0.178,0.785190273,0.032,103.991,7.0,4.0,Happy,telugu
3SV6DPnu0v1Oj5TGYkIR63,Paparayudu,0.625,0.672,0.204,0.860581276,0.444,79.445,4.0,4.0,Angry,telugu
0I9RbCJItXY1jxGIAsQT0t,Jalsa Jalsa,0.922,0.339,0.099,0.700090532,0.144,111.963,7.0,4.0,Surprised,telugu
3ppaMjhBDxRi2kTpawOSJn,My Heart is Beating,0.842,0.209,0.104,0.705865826,0.0949,130.0,9.0,4.0,Surprised,telugu
2B4aHNymPu3qYSjFnoxZGH,You & I,0.896,0.169,0.0316,0.69996566,0.0721,110.032,0.0,4.0,Happy,telugu
3U2CHs5bINydvVwt0y9PuG,Chalore Chalore (Hindi),0.776,0.425,0.0543,0.68972622,0.0813,99.987,5.0,4.0,Happy,telugu
7DogGBT86sbjsNWQSIGLtB,Jennifer Lopez,0.792,0.0784,0.0435,0.718977305,0.18,92.119,11.0,4.0,Happy,telugu
5n1FBtJgcDePfo8q6hBQPu,Gaallo Thelinattunde,0.859,0.0493,0.0672,0.7019636,0.0779,115.006,7.0,4.0,Surprised,telugu
71fCqjqfJz23Bjodiqt4GY,Chalore Chalore (Telugu),0.811,0.203,0.0487,0.684762589,0.078,99.989,0.0,4.0,Happy,telugu
5fP5wg1Chzg5cPbHIdGscu,Jalsa Jalsa (Remix),0.825,0.053,0.343,0.729497705,0.0704,129.968,0.0,4.0,Surprised,telugu
0HTTwOa3XTNreVIcoWp7u5,My Heart is Beating (Remix),0.709,0.253,0.149,0.711047982,0.0326,130.01,9.0,4.0,Surprised,telugu
2724M1EwPYBB8s0J3t0D8R,Yamaho Yama,0.798,0.166,0.293,0.698904255,0.0605,109.981,8.0,4.0,Happy,telugu
1us8uUo44iGtZKKZJi8Buy,Love U Raa,0.835,0.0257,0.129,0.786376549,0.148,93.994,5.0,4.0,Happy,telugu
693359DlfpvoEfIYleKs05,Endhuko Pichi Pichi,0.863,0.103,0.197,0.773327506,0.191,123.951,4.0,4.0,Surprised,telugu
4nQTjFHjgznhXpW2j3bu9Y,Chamka Chamka,0.826,0.0303,0.327,0.767708301,0.0613,113.978,1.0,4.0,Surprised,telugu
6B5xvGvHyVjN8HBdAsoWH0,Maro Maro,0.794,0.0654,0.0769,0.758561483,0.0533,129.982,10.0,4.0,Surprised,telugu
05YrHIT3ktUKWM0SMwUrkI,Kannethi- Bit,0.36,0.217,0.109,0.546342834,0.0301,120.976,0.0,3.0,Surprised,telugu
0gkvyVZT7lsHCJgwwkGSRn,Ivala,0.702,0.00439,0.118,0.837261574,0.0386,130.955,5.0,4.0,Surprised,telugu
7q9jCITcW1whCmv6y3JtFg,Innallu - Bit,0.384,0.514,0.109,0.60347142,0.0317,121.272,10.0,3.0,Surprised,telugu
7MtXu7mXRMdICKyTOb8CuR,Baitikochi Chuste,0.588,0.583,0.136,0.772390972,0.0694,89.749,6.0,4.0,Happy,telugu
5pOY1Vg2TIIbVBfR6yAg0C,Gaali Vaaluga,0.677,0.643,0.168,0.772547061,0.0378,110.044,0.0,4.0,Happy,telugu
