id,name,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,Cluster,label,language
50s6uX9YwwF7T1VOFDNpGA,Dont Stop,0.834,0.215,0.943,0.00385,0.127,0.667,-3.842,0.0757,104.961,7,4,4,Cheerful,telugu
0BFQi3erN3X4tT6ZrthC5d,Chal Chalo Chalo,0.598,0.42,0.817,0.00121,0.485,0.722,-5.003,0.0991,67.111,9,4,4,Cheerful,telugu
67RKXc29tGIKnVY2xIBcSU,Adaraku,0.736,0.109,0.659,0.00102,0.0634,0.377,-9.567,0.074,101.012,9,4,2,Cheerful,telugu
24SGHHcIqQHgO4oucXxhhd,Nuvve Samastham,0.86,0.332,0.726,0.000306,0.0911,0.75,-6.239,0.0502,116.973,8,4,4,Cheerful,telugu
540QlWSvpDzDOc0EMzUokz,Oke Oka Jeevitham,0.64,0.548,0.501,0,0.135,0.409,-8.195,0.0364,84.975,3,4,2,Cheerful,telugu
4WgrhMG0WomCrDQ2SDUbKh,Who R U,0.707,0.0572,0.948,0.0538,0.879,0.78,-3.907,0.0722,138.035,7,4,4,Cheerful,telugu
5hCPyBJTeFoMj5B9RhlxoY,Prayathname,0.667,0.396,0.606,1.78E-05,0.168,0.289,-9.087,0.0509,96.062,9,4,2,Cheerful,telugu
5tc5uPw6UqvC0N2fF5jzXI,Jaago,0.43,0.552,0.303,0.0984,0.298,0.0398,-13.12,0.0665,129.898,5,4,6,Cheerful,telugu
6TZEl5bAbJ0zqXKkS2nwxN,Nippulanti Nirudyogi,0.515,0.15,0.914,0,0.348,0.783,-6.612,0.102,89.982,5,4,4,Cheerful,telugu
30nBtzzMdm8EXQK9QtiJVX,Roopaay,0.726,0.28,0.522,0,0.0698,0.614,-6.611,0.0348,83.007,5,4,2,Cheerful,telugu
0i5KYCaQs1xY7z9MWCFoXW,Life Of Ram,0.661,0.21,0.559,0.000118,0.116,0.388,-8.829,0.0508,90.009,4,4,2,Cheerful,telugu
